A Politician Judge – Judiciary's Bane And Nobody's Gain,https://news.google.com/articles/CBMibmh0dHBzOi8vd3d3LmxpdmVsYXcuaW4vdG9wLXN0b3JpZXMvaW5kZXBlbmRlbmNlLW9mLWp1ZGljaWFyeS1hbmQtanVkZ2VzLXBvc3QtcmV0aXJlbWVudC1wb2xpdGljYWwtcm9sZXMtMjUzNzcw0gFyaHR0cHM6Ly93d3cubGl2ZWxhdy5pbi9hbXAvdG9wLXN0b3JpZXMvaW5kZXBlbmRlbmNlLW9mLWp1ZGljaWFyeS1hbmQtanVkZ2VzLXBvc3QtcmV0aXJlbWVudC1wb2xpdGljYWwtcm9sZXMtMjUzNzcw?hl=en-IN&gl=IN&ceid=IN%3Aen ,,,
Oppn leaders,,https://news.google.com/articles/CBMigwFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vcG9saXRpY3MvYXJ2aW5kLWtlanJpd2FsLXMtd2lmZS10by1hdHRlbmQtaW5kaWEtYmxvYy1zLWxva3RhbnRyYS1iYWNoYW8tcmFsbHktMTI0MDMzMTAwMDgxXzEuaHRtbNIBhwFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vYW1wL3BvbGl0aWNzL2FydmluZC1rZWpyaXdhbC1zLXdpZmUtdG8tYXR0ZW5kLWluZGlhLWJsb2Mtcy1sb2t0YW50cmEtYmFjaGFvLXJhbGx5LTEyNDAzMzEwMDA4MV8xLmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen ,,
Politics or films? BJP's Mandi candidate Kangana Ranaut ready to work full time if… | Mint,https://news.google.com/articles/CBMiiwFodHRwczovL3d3dy5saXZlbWludC5jb20vcG9saXRpY3MvbmV3cy9wb2xpdGljcy1vci1maWxtcy1ianBzLW1hbmRpLWNhbmRpZGF0ZS1rYW5nYW5hLXJhbmF1dC1yZWFkeS10by13b3JrLWZ1bGwtdGltZS1pZi0xMTcxMTc3MzM3NzAzNS5odG1s0gGPAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9wb2xpdGljcy9uZXdzL3BvbGl0aWNzLW9yLWZpbG1zLWJqcHMtbWFuZGktY2FuZGlkYXRlLWthbmdhbmEtcmFuYXV0LXJlYWR5LXRvLXdvcmstZnVsbC10aW1lLWlmL2FtcC0xMTcxMTc3MzM3NzAzNS5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen ,,,
The Politics of Eastern UP Leading Up to Mukhtar Ansari's Death,https://news.google.com/articles/CBMiZGh0dHBzOi8vbS50aGV3aXJlLmluL2FydGljbGUvcG9saXRpY3MvdGhlLXBvbGl0aWNzLW9mLWVhc3Rlcm4tdXAtbGVhZGluZy11cC10by1tdWtodGFyLWFuc2FyaXMtZGVhdGjSAWhodHRwczovL20udGhld2lyZS5pbi9hcnRpY2xlL3BvbGl0aWNzL3RoZS1wb2xpdGljcy1vZi1lYXN0ZXJuLXVwLWxlYWRpbmctdXAtdG8tbXVraHRhci1hbnNhcmlzLWRlYXRoL2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen ,,,
U.S. Politics,https://news.google.com/articles/CBMiNmh0dHBzOi8vd3d3Lm55dGltZXMuY29tL2ludGVybmF0aW9uYWwvc2VjdGlvbi9wb2xpdGljc9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen ,,,
No LS ticket,,https://news.google.com/articles/CBMihgFodHRwczovL3RoZXByaW50LmluL3BvbGl0aWNzL25vLWxzLXRpY2tldC1ub3QtYS1zdGFyLWNhbXBhaWduZXItaG93LWt1bGRlZXAtYmlzaG5vaS1pcy1vbi1wb2xpdGljYWwtbWFyZ2lucy1hZnRlci1qb2luaW5nLWJqcC8yMDIxNjg0L9IBigFodHRwczovL3RoZXByaW50LmluL3BvbGl0aWNzL25vLWxzLXRpY2tldC1ub3QtYS1zdGFyLWNhbXBhaWduZXItaG93LWt1bGRlZXAtYmlzaG5vaS1pcy1vbi1wb2xpdGljYWwtbWFyZ2lucy1hZnRlci1qb2luaW5nLWJqcC8yMDIxNjg0Lz9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen ,,
Toxic words: On the discourse in politics and women politicians,https://news.google.com/articles/CBMifWh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9vcGluaW9uL2VkaXRvcmlhbC90b3hpYy13b3Jkcy1vbi10aGUtZGlzY291cnNlLWluLXBvbGl0aWNzLWFuZC13b21lbi1wb2xpdGljaWFucy9hcnRpY2xlNjc5OTgzNjEuZWNl0gGCAWh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9vcGluaW9uL2VkaXRvcmlhbC90b3hpYy13b3Jkcy1vbi10aGUtZGlzY291cnNlLWluLXBvbGl0aWNzLWFuZC13b21lbi1wb2xpdGljaWFucy9hcnRpY2xlNjc5OTgzNjEuZWNlL2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen ,,,
Kangana Ranaut's foray into politics makes Mandi Lok Sabha polls interesting,https://news.google.com/articles/CBMikgFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2VsZWN0aW9ucy9sb2stc2FiaGEvc3Rvcnkva2FuZ2FuYS1yYW5hdXRzLWZvcmF5LWludG8tcG9saXRpY3MtbWFrZXMtbWFuZGktbG9rLXNhYmhhLXBvbGxzLWludGVyZXN0aW5nLTI1MTk3MjAtMjAyNC0wMy0yN9IBlgFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC9lbGVjdGlvbnMvbG9rLXNhYmhhL3N0b3J5L2thbmdhbmEtcmFuYXV0cy1mb3JheS1pbnRvLXBvbGl0aWNzLW1ha2VzLW1hbmRpLWxvay1zYWJoYS1wb2xscy1pbnRlcmVzdGluZy0yNTE5NzIwLTIwMjQtMDMtMjc?hl=en-IN&gl=IN&ceid=IN%3Aen ,,,
The Economic Times,,,,
Reality check: Leo Varadkar's downfall shows dangers of politics driven by symbolism,https://news.google.com/articles/CBMingFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vb3Bpbmlvbi9ldC1jb21tZW50YXJ5L3JlYWxpdHktY2hlY2stbGVvLXZhcmFka2Fycy1kb3duZmFsbC1zaG93cy1kYW5nZXJzLW9mLXBvbGl0aWNzLWRyaXZlbi1ieS1zeW1ib2xpc20vYXJ0aWNsZXNob3cvMTA4ODgzOTE2LmNtc9IBogFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vb3Bpbmlvbi9ldC1jb21tZW50YXJ5L3JlYWxpdHktY2hlY2stbGVvLXZhcmFka2Fycy1kb3duZmFsbC1zaG93cy1kYW5nZXJzLW9mLXBvbGl0aWNzLWRyaXZlbi1ieS1zeW1ib2xpc20vYW1wX2FydGljbGVzaG93LzEwODg4MzkxNi5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen ,,,
